gene_id	Gene names	type
ENSMUSG00000000001	Gnai3	cytoplasm
ENSMUSG00000000028	Cdc45 Cdc45l Cdc45l2	nucleus
ENSMUSG00000000049	Apoh B2gp1	cytoplasm
ENSMUSG00000000058	Cav2	cytoplasm
ENSMUSG00000000085	Scmh1	nucleus
ENSMUSG00000000093	Tbx2	nucleus
ENSMUSG00000000094	Tbx4	nucleus
ENSMUSG00000000103	Zfy2 Zfy-2	nucleus
ENSMUSG00000000120	Ngfr Tnfrsf16	integral membrane
ENSMUSG00000000125	Wnt3 Int-4 Wnt-3	cytoplasm
ENSMUSG00000000127	Fer Fert2	nucleus
ENSMUSG00000000134	Tfe3 Tcfe3	nucleus
ENSMUSG00000000142	Axin2	nucleus
ENSMUSG00000000148	Brat1 Baat1	nucleus
ENSMUSG00000000149	Gna12 Gna-12	cytoplasm
ENSMUSG00000000167	Pih1d2	cytoplasm
ENSMUSG00000000171	Sdhd	integral membrane
ENSMUSG00000000182	Fgf23	cytoplasm
ENSMUSG00000000183	Fgf6 Fgf-6 Hstf2	cytoplasm
ENSMUSG00000000184	Ccnd2 Cyl-2	nucleus
ENSMUSG00000000194	Gpr107 Kiaa1624	integral membrane
ENSMUSG00000000214	Th	nucleus
ENSMUSG00000000215	Ins2 Ins-2	nucleus
ENSMUSG00000000216	Scnn1g	integral membrane
ENSMUSG00000000247	Lhx2	nucleus
ENSMUSG00000000248	Clec2g Clec2f Ddv10 Ocilrp1	integral membrane
ENSMUSG00000000275	Trim25 Efp Zfp147 Znf147	nucleus
ENSMUSG00000000276	Dgke	integral membrane
ENSMUSG00000000282	Mnt Rox	nucleus
ENSMUSG00000000295	Hddc2	cytoplasm
ENSMUSG00000000296	Tpd52l1	cytoplasm
ENSMUSG00000000301	Pemt Pempt Pemt2	integral membrane
ENSMUSG00000000317	Bcl6b Bazf	nucleus
ENSMUSG00000000318	Clec10a Mgl Mgl1	integral membrane
ENSMUSG00000000320	Alox12 Alox12p	cytoplasm
ENSMUSG00000000326	Comt Comt1	integral membrane
ENSMUSG00000000339	RtcA Rpc1 Rtcd1	nucleus
ENSMUSG00000000340	Dbt	cytoplasm
ENSMUSG00000000346	Dazap2 Prtb	cytoplasm
ENSMUSG00000000365	Rnf17	nucleus
ENSMUSG00000000378	Ccm2 Osm	cytoplasm
ENSMUSG00000000385	Tmprss2	integral membrane
ENSMUSG00000000386	Mx1 Mx	nucleus
ENSMUSG00000000392	Fap	integral membrane
ENSMUSG00000000394	Gcg	cytoplasm
ENSMUSG00000000411	Tssk3 Stk22c Stk22d	nucleus
ENSMUSG00000000420	Galnt1	integral membrane
ENSMUSG00000000435	Myf5 Myf-5	nucleus
ENSMUSG00000000441	Raf1 Craf	cytoplasm
ENSMUSG00000000531	Tamalin Grasp MNCb-4428	cytoplasm
ENSMUSG00000000552	Znf385a Hzf Zfp385a	nucleus
ENSMUSG00000000555	Itga5	cytoplasm
ENSMUSG00000000561	Wdr77 Mep50	nucleus
ENSMUSG00000000567	Sox9 Sox-9	nucleus
ENSMUSG00000000568	Hnrnpd Auf1 Hnrpd	nucleus
ENSMUSG00000000581	C1d Suncor	cytoplasm
ENSMUSG00000000600	Krit1 Ccm1	cytoplasm
ENSMUSG00000000627	Sema4f Semaw	integral membrane
ENSMUSG00000000632	Sez6 Kiaa4158	integral membrane
ENSMUSG00000000673	Haao	cytoplasm
ENSMUSG00000000690	Hoxb6 Hox-2.2 Hoxb-6	nucleus
ENSMUSG00000000693	Loxl3 Lor2	nucleus
ENSMUSG00000000706	Btn1a1 Btn	integral membrane
ENSMUSG00000000708	Kat2b Pcaf	nucleus
ENSMUSG00000000730	Dnmt3l	nucleus
ENSMUSG00000000731	Aire	nucleus
ENSMUSG00000000732	Icoslg B7h2 B7rp1 Icosl	integral membrane
ENSMUSG00000000751	Rpa1	nucleus
ENSMUSG00000000759	Tubgcp3 Gcp3	cytoplasm
ENSMUSG00000000766	Oprm1 Mor Oprm	cytoplasm
ENSMUSG00000000776	Polr3d Bn51t	nucleus
ENSMUSG00000000782	Tcf7 Tcf-1 Tcf1	nucleus
ENSMUSG00000000787	Ddx3x D1Pas1-rs2 Ddx3 Dead3 Erh	nucleus
ENSMUSG00000000794	Kcnn3 Sk3	integral membrane
ENSMUSG00000000817	Faslg Apt1lg1 Cd95l Fasl gld Tnfsf6	integral membrane
ENSMUSG00000000827	Tpd52l2	cytoplasm
ENSMUSG00000000861	Bcl11a Ctip1 Evi9 Kiaa1809	nucleus
ENSMUSG00000000876	Pxmp4 Pmp24	integral membrane
ENSMUSG00000000881	Dlg3 Dlgh3	cytoplasm
ENSMUSG00000000884	Gnb1l Estm55 Wdr14	cytoplasm
ENSMUSG00000000889	Dbh	integral membrane
ENSMUSG00000000902	Smarcb1 Baf47 Ini1 Snf5l1	nucleus
ENSMUSG00000000938	Hoxa10 Hox-1.8 Hoxa-10	nucleus
ENSMUSG00000000948	Snurf	nucleus
ENSMUSG00000000957	Mmp14 Mtmmp	integral membrane
ENSMUSG00000000958	Slc7a7	integral membrane
ENSMUSG00000000982	Ccl3 Mip1a Scya3	cytoplasm
ENSMUSG00000001014	Icam4	cytoplasm
ENSMUSG00000001016	Ilf2 Nf45	nucleus
ENSMUSG00000001020	S100a4 Capl Mts1	nucleus
ENSMUSG00000001023	S100a5 S100d	nucleus
ENSMUSG00000001025	S100a6 Cacy	nucleus
ENSMUSG00000001034	Mapk7 Bmk1 Erk5	nucleus
ENSMUSG00000001039	B9d1 Eppb9	cytoplasm
ENSMUSG00000001054	Rmnd5b	nucleus
ENSMUSG00000001065	Znf276 Zfp276	nucleus
ENSMUSG00000001082	Mfsd10 Tetran	integral membrane
ENSMUSG00000001089	Luzp1 Luzp	nucleus
ENSMUSG00000001095	Slc13a2 Nadc1 Sdct1	integral membrane
ENSMUSG00000001100	Poldip2	nucleus
ENSMUSG00000001103	Sebox Og9x	nucleus
ENSMUSG00000001120	Pcbp3	nucleus
ENSMUSG00000001123	Lgals9	nucleus
ENSMUSG00000001134	Uxt	nucleus
ENSMUSG00000001138	Cnnm3 Acdp3	integral membrane
ENSMUSG00000001143	Lman2l Vipl	integral membrane
ENSMUSG00000001150	Mcm3ap Ganp Map80	nucleus
ENSMUSG00000001157	Gmcl1 Gcl Gcl1	nucleus
ENSMUSG00000001158	Snrnp27	nucleus
ENSMUSG00000001173	Ocrl Ocrl1	nucleus
ENSMUSG00000001175	Calm2 Cam2 CamC	nucleus
ENSMUSG00000001175	Calm1 Calm Cam Cam1	nucleus
ENSMUSG00000001175	Calm3 Cam3 Camc	nucleus
ENSMUSG00000001211	Agpat3 Lpaat3	integral membrane
ENSMUSG00000001228	Uhrf1 Np95	nucleus
ENSMUSG00000001240	Ramp2	cytoplasm
ENSMUSG00000001247	Lsr Lisch7	integral membrane
ENSMUSG00000001248	Gramd1a D7Bwg0611e Kiaa1533	integral membrane
ENSMUSG00000001249	Hpn	integral membrane
ENSMUSG00000001270	Ckb Ckbb	nucleus
ENSMUSG00000001280	Sp1	nucleus
ENSMUSG00000001285	Myg1	nucleus
ENSMUSG00000001288	Rarg Nr1b3	nucleus
ENSMUSG00000001289	Pfdn5 Eig1 Mm1 Pfd5	nucleus
ENSMUSG00000001323	Srr	cytoplasm
ENSMUSG00000001333	Sync Sync1	cytoplasm
ENSMUSG00000001334	Fndc5 Frcp2 Pep	integral membrane
ENSMUSG00000001366	Fbxo9 MNCb-2471	cytoplasm
ENSMUSG00000001380	Hars1 Hars	cytoplasm
ENSMUSG00000001383	Zmat2	nucleus
ENSMUSG00000001403	Ube2c Ubch10	nucleus
ENSMUSG00000001415	Smg5 Est1b Kiaa1089	nucleus
ENSMUSG00000001418	Glmp	integral membrane
ENSMUSG00000001419	Mef2d	nucleus
ENSMUSG00000001420	Tmem79 Matt	integral membrane
ENSMUSG00000001424	Snd1	nucleus
ENSMUSG00000001440	Kpnb1 Impnb	nucleus
ENSMUSG00000001441	Npepps Psa	nucleus
ENSMUSG00000001444	Tbx21 Tbet Tblym	nucleus
ENSMUSG00000001467	Cyp51a1 Cyp51	integral membrane
ENSMUSG00000001472	Tcf25 D8Ertd325e Nulp1	nucleus
ENSMUSG00000001473	Tubb6	cytoplasm
ENSMUSG00000001493	Meox1 Mox-1 Mox1	nucleus
ENSMUSG00000001496	Nkx2-1 Nkx-2.1 Titf1 Ttf1	nucleus
ENSMUSG00000001497	Pax9 Pax-9	nucleus
ENSMUSG00000001504	Irx2 Irx6 Irxa2	nucleus
ENSMUSG00000001506	Col1a1 Cola1	cytoplasm
ENSMUSG00000001508	Sgca	cytoplasm
ENSMUSG00000001510	Dlx3	nucleus
ENSMUSG00000001520	Nrip2 Nix1	nucleus
ENSMUSG00000001521	Tulp3	nucleus
ENSMUSG00000001524	Gtf2h4	nucleus
ENSMUSG00000001525	Tubb5	nucleus
ENSMUSG00000001552	Jup	nucleus
ENSMUSG00000001558	Klhl10	cytoplasm
ENSMUSG00000001566	Mnx1 Hlxb9	nucleus
ENSMUSG00000001583	Tnk1 Kos1	cytoplasm
ENSMUSG00000001604	Tcea3 Tfiish	nucleus
ENSMUSG00000001627	Ifrd1 Tis7	nucleus
ENSMUSG00000001630	Stk38l Ndr2	cytoplasm
ENSMUSG00000001632	Brpf1	nucleus
ENSMUSG00000001655	Hoxc13 Hoxc-13	nucleus
